Clase,Mensaje
Positivo,"@nomecallomasok @PabloK75 @Aerolineas_AR Yo hace muchos años ya había visto manzanas en EEUU, lógicamente de Río Negro, es un orgullo ver productos nuestros, tan nobles en el exterior!"
Positivo,@PabloK75 @Aerolineas_AR Por esto siempre pienso que debería volver Aerolíneas Cargo
Negativo,"@Aerolineas_AR vuelo que cambió de horario, demasiada gente, soy muy muy muy fobica y la falta de distancia interpersonal me está matando."
Negativo,@Aerolineas_AR hola fue consulta por DM
Negativo,@Aerolineas_AR imposible comunicarme por telefono. Necesito cambiar pasajes y no se puede online.
Negativo,"@DNDConsumidor @Aerolineas_AR @MindeTransporte termine de cargar TODOS LOS DATOS y me dice que la pagina no funciona, parece el colmo, estoy haciendo un reclamo porque @Aerolineas_AR me cag* por una pagina web y @DNDConsumidor me pasa una pagina que no funciona 😡 idem lo de aerolineas"
Negativo,"@Aerolineas_AR necesito saber cómo cambio mis pasajes, si pudiesen responder algunos de mis mails se lo agradecería."
Negativo,@Aerolineas_AR Mentira!!! Ni en esta ni en la otra promoción conseguí esos precios desde Salta.. capaz que no la consideran dentro de Argentina
Negativo,La mina era más mentirosa que promo de @Aerolineas_AR  jaja.. Andaaa!! https://t.co/3YTaoRphpT
Positivo,"@panchada @Aerolineas_AR Ok,, gracias!!👍🖐🖐"
Positivo,@karilamas17 @Aerolineas_AR Siempre mitad d semana es más barato un vuelo y elijo la hora q sale menos q por lo general es o muy temprano o mediodía...
Positivo,"@HCAQUILMES @Aerolineas_AR Haaa, gracias"
Negativo,@Aerolineas_AR me cambiaron el horario de un vuelo y perdí la conexión. Tuve q volver a comprar un pasaje q me salió una fortuna y ustedes no me dan ninguna rtta. a mi solicitud de compensación a este problema que no sólo fue económico sino que me causó inconvenientes adicionales
Negativo,"@Aerolineas_AR me pueden explicar para que ponen una promoción de compras de millas y obtener el doble si cuando lo vas hacer no te deja, lo estoy intentando desde ayer 😡😡😡"
Positivo,"@Polita9999 @adrianratam @Aerolineas_AR Es hernoso, tambien andaba con ganas de volver porque siempre cambia el paisaje, asi que volveré 😀"
Positivo,"@kvivi24 @adrianratam @Aerolineas_AR 👏🏻👏🏻👏🏻 Cataratas que lindo destino, fuí dos veces y volvería mil veces más"
Positivo,"@adrianratam @Aerolineas_AR Espectacular, tenia pasajes saliendo desde foz, estaba esperando algo bueno, con lo que me ahorro me hice de yapa 2 dias en las cataratas antes de partir, eapectacular 💪💪💪"
Positivo,@kvivi24 @Aerolineas_AR Vaamooooosss Vivi!!!!
Negativo,@Aerolineas_AR Verso
Positivo,@alebresky @Aerolineas_AR @mauriciomacri 💪👏👏👏👏👏💙VAYAMOS ARGENTIDA CARAJO💪💙💙💙
Negativo,"Seria bueno que los pelotudos de @Aerolineas_AR carguen la info correcta. Ayer publicaron que el cambio para pasajes de hoy era 38.00 y asi sigue figurando en la web de agencias , mientras los sistemas estan cotizando a 38.10. Sigan rompiendo los huevos. https://t.co/NP0yzOMBYJ"
Positivo,"El fin de semana largo, Aerolíneas Argentinas transportará 9% más pasajeros https://t.co/05tid1q2tJ #findesemana #aerolíneas #Argentina #AerolíneasArgentinas #transporte #pasajeros @Aerolineas_AR"
Positivo,Aerolíneas se prepara para el finde largo. @Aerolineas_AR https://t.co/6h61d2L8fC #AerolíneasArgentinas
Negativo,"Se puede ser ineficiente? si, se puede! @almundo_ar @Aerolineas_AR me patean de teléfono en teléfono, me han llegado a decir que tengo que pagar por el asiento ... que la culpa es de la agencia que bloquea el checkin y mucho más. Mientras tanto sigo esperando una solución"
Positivo,@Aerolineas_AR TRANSPORTARÁ UN 9% MÁS DE PASAJEROS QUE EL AÑO PASADO DURANTE ESTE FIN DE SEMANA LARGO https://t.co/g6bRwOUPK2 https://t.co/lzyUMp9Ggj
Negativo,@_DarioGallardo @AndresGabrielli necesitamos vuelos a nqn de otra aerolínea. Por qué somos cautivos de @Aerolineas_AR qué es carísimo
Negativo,"Cuando necesito sacar pasajes, nunca puedo ingresar a las web de @Aerolineas_AR Nunca se me termina de cargar el buscador 😩"
Negativo,y por lo mal que me trataron en mostrador y en atencion al cliente ante mi reclamo @Aerolineas_AR
Negativo,"@DNDConsumidor quiero hacer el reclamo del reintegro de que la pagina ""no funcionaba"" y NADIE ME QUISO DAR UNA SOLUCION Y/O ALTERNATIVA @Aerolineas_AR @MindeTransporte"
Negativo,"@Aerolineas_AR Es una mentira, averigüe para Santiago, sale $8000🙄🙄🙄"
Negativo,"Lunes vuelo a ny @Aerolineas_AR demorado xq no llegaba la tripulacion, miércoles vuelo a ny sale 6 ha tarde por desperfectos..no volvamos a lo que era antes"
Negativo,@Aerolineas_AR Si claro... entro y el pasaje nacional que busco sale mas de 10 lucas.  Hdp!!!
Negativo,"@Aerolineas_AR un vuelo a Nueva York demorado esta noche hasta que se cancela definitivamente por fallas en el avión , se pierde la conexión con otra aerolínea a boston Y LA EMPRESA NO SE HACE CARGO DE NADA?"
Negativo,"@Aerolineas_AR Parece que la única que vuela a $699 es Valeria Daneri... los demás (yo incluida), NO VEMOS ESOS PRECIOS EN NINGÚN LADO!!! TODO MENTIRA."
Negativo,Arriba del AR1302 @Aerolineas_AR esperando + 1 hora sentados x q no vino camion de nafta entonces el capitan anuncia que pidio ahora de otra compania. #sinnafta Una verguenza ...   para que embsrcamos ? despues hablan de puntualidad.
Negativo,Mi vuelo no despega porque el camión de combustible no viene. Esperando un camión de ypf que llega tipo 12. Y el coso de las pelis no tiene audio. @Aerolineas_AR sucks.
Positivo,Tremendos los simuladores de vuelo de @Aerolineas_AR . La sensación de vuelo es taaaan real. Allí practican los pilotos https://t.co/XQNcO5rTuI
Positivo,Un fin de semana largo exitoso para Aerolíneas Argentinas @Aerolineas_AR  @MindeTransporte   https://t.co/bhpKkUyQvy https://t.co/FQqbq9AqZ5
Positivo,"@gamba1063 @Aerolineas_AR @GeeneTomlinson la mejooor de todas, nos juntamos y no nos para nadie 😂😆"
Positivo,@gjamdz @Aerolineas_AR @diazpez @SirChandlerBlog Ahí trate de nuevo y pude. Gracias a todos!  🥳
Negativo,@Aerolineas_AR Tiene más letra chica esa publicidad. Chorizos!
Negativo,"@Aerolineas_AR Hola, nunca me dijieron como utilizar las millas"
Negativo,@Aerolineas_AR tengo que hacer una consulta de aerolíneas plus y no me puedo comunicar nunca!!!
Positivo,"Este fin de semana, @Aerolineas_AR espera un montón de pasajeros usando los servicios.  https://t.co/yaXYZeJyYw"
Negativo,@GuruMartinez88 @Aerolineas_AR Siiiiii ! Un afano 😱
Negativo,@Sradelostattoos @Aerolineas_AR Se fue todo a la mierda imagínate q el kg de 🥝 sale 90 pesos jaja
Negativo,@Aerolineas_AR Es mentira!!!! No hay una sola oferta a ese precio
Negativo,"Un pasaje en @Aerolineas_AR a San Martín de los Andes en esta ,que ya es temporada baja claramente ,está $ 8500 😱 que pasó (?)"
Positivo,@diazpez @Aerolineas_AR @SirChandlerBlog Gracias!!!!
Negativo,¿Es joda esto? Retrasan 10 años al hacerte ir a hacer la cola sin tener que despachar nada. Creo que me hubiese indignado menos si la pagina no andaba... @Aerolineas_AR @diazpez @SirChandlerBlog https://t.co/LixlfITENT
Negativo,@cyngarciaradio @Aerolineas_AR @JavierJiguacel Cara rotas.
Positivo,@Qualityman156 @alanxelmundo @Aerolineas_AR Graciasssss
Negativo,@Aerolineas_AR Es una mierda esta promoción por que sólo son saliendo de Bs as
Negativo,@Aerolineas_AR Nada que ver los precios me salio más barato Andes ida y vuelta es un ida solo de esta promo.
Positivo,Que bien nos trató la tripulación del vuelo 1447 de @Aerolineas_AR desde #Tucumán a #BuenosAires. Amables y siempre con una sonrisa. Dicen que volverán a Tucumán por nuestras empanadas!!! @TucumanTurismo @TurismoNacionAR https://t.co/eFHyR24ggT
Negativo,@Aerolineas_AR Dejen de mentir a la.gente   el.unico. pasaje a 700 es a cordoba no al resto.del.pais.  y tampoco.los valores que dicen al resto.del.pais .existen .  es todo.una farsa
Negativo,Bochornoso trato de @Aerolineas_AR a los pasajeros en Barajas. Mienten descaradamente por las razones de una demora de 9 horas! No respetan ni las necesidades ni las obligaciones de los pasajeros
Negativo,@Aerolineas_AR Chupamela con la publicidad engañosa!!!
Positivo,@SirChandlerBlog @Aerolineas_AR Ok. Gracias por la data...genio Como siempre
Negativo,@Aerolineas_AR  Que está pasando que cada vez que llamo al 011 4340-7777 nadie responde con cualquier opción que se elija? Es increíble q desde hace mínimo 2 semanas me quiero comunicar en distintos horarios y me es imposible.
Negativo,@Aerolineas_AR Son unos truchos !cuando entras a comprar te dice el precio real 7000
Negativo,Un desastre como está @Aerolineas_AR ! Siempre con problemas en las puertas y a último momento se ponen a armarlas. https://t.co/56DEl7ZQDl
Positivo,@RitucciFernanda @bettyboo1050 @Guillodietrich @Aerolineas_AR No sabes buscar! Familiares viajaron de Corrientes a Buenos Aires x 1000 $ ida y vuelta!!!!!
Positivo,@RitucciFernanda @Aerolineas_AR encontré para mayo del 2019 a 1500 cada tramo cuando habitualmente están entre 3500 y 5000 cada tramo para mi fue un golazo
Negativo,@Aerolineas_AR Otra mentira sideral de aerolíneas argentinas recién entré y cuestan una fortuna
Negativo,@Aerolineas_AR Dejen de mentir
Positivo,"Gracias @Aerolineas_AR por traernos a casa, después de cerrar una gran jornada! #amamosloquehacemos https://t.co/1c7DwJ20yC"
Positivo,"@Aerolineas_AR Aprovecho para felicitar a la tripulacion del vuelo 1135 Madrid- Bs As Dom 7/10, por la calidez y buena predisposición durante las 12 hs de vuelo. Lo bueno tambien vale decirlo."
Negativo,"@Aerolineas_AR Devolveme mi num de socio, q hace un año pierdo millones de millas"
Negativo,@Aerolineas_AR Una estafa. Un venta de humo. Un verso descomunal. Es publicidad engañosa. No existen esos precios aun mirando varias fechas
Negativo,@forasteroDibera @Aerolineas_AR Perdón pero la empresa miente con los precios de ésta promoción  o me vas a decir q no?
Negativo,"@Aerolineas_AR No solo es info falsa, sino que las tarifas que son más caras no incluyen equipaje ni asiento...  como las low cost que tanto critican y q no quieren dejar operar!"
Negativo,@gustinValdes @Aerolineas_AR @DNDConsumidor Son una mentira @Aerolineas_AR ...no existe la promo...busqué diferentes fechas a propósito....y salen desde $5000...@DNDConsumidor
Positivo,Directivos de @Aerolineas_AR presentaron la operación de vuelos de verano de la compañía. Se ofrecerá un 15% más de asientos que en 2018. Además se suma Mendoza - Mar del Plata con 5 frecuencias semanales. https://t.co/WaNDSlSqV1
Negativo,@Aerolineas_AR Hijos de putaaaaa! De donde sacan esos precios? 19 lucas para 2 desde San Martín de los Andes?!!!
Negativo,@Aerolineas_AR No existe tal promoción busque en todas las opciones y por 700 pesos no voy a ningún lado ...
Positivo,@Liliana202702 @Aerolineas_AR Gracias
Negativo,@Aerolineas_AR Algún día responden los reclamos por algún medio? Terrible atención al cliente. Me voy a cambiar de programa de pasajero frecuente 😡
Positivo,@ElMundoOk @ViajesChat @iatiseguros @Aerolineas_AR Muchas graciassssssss✈️✈️✈️
Positivo,@ViajarSiempre @ViajesChat @iatiseguros @Aerolineas_AR ¡Qué preciosidad! #viajeschat
Positivo,"@ElMundoOk @ViajesChat @iatiseguros R4: Una de las fotos más lindas que saqué volando, y es mi pinned tweet. Aterrizaje con @Aerolineas_AR en Aeropuerto El Prat, Barcelona en abril 2016.  #ViajesChat https://t.co/k8dUQj56Ep"
Positivo,"@ElMundoOk @ViajesChat @iatiseguros R4: Una de las fotos más lindas que saqué volando, y es mi pinned tweet. Aterrizaje con @Aerolineas_AR en Aeropuerto El Prat, Barcelona en abril 2016.  #ViajesChat https://t.co/k8dUQj56Ep"
Negativo,Mentiraaaa....@Aerolineas_AR ..me canse de buscar..y no hay esos precios https://t.co/idjk7jk14t
Negativo,"Que cagada que @Aerolineas_AR te cambié siempre el vuelo, tengo una vida y cosas que hacer"
Positivo,@Aerolineas_AR es un verdadero orgullo. Da placer viajar por nuestra línea de bandera. 🇦🇷
Negativo,@Aerolineas_AR Intente comprar en las fechas a varios destinos y nunca respetan esa tarifa... #estafa #mentira 😒
Positivo,A volar se ha dicho! Por @Aerolineas_AR 😊 a la bella Córdoba! https://t.co/5MSjzv9u5g
Negativo,@Aerolineas_AR hace lo que quiere. Te pasa un vuelo 7 horas y te avisa 24 hs antes...¿ no pueden resolver el problema en este tiempo? Total... el que se jode es el que llega tarde y pierde sus pasajes en Argentina
Positivo,@InfoViajera @Aerolineas_AR Yo no lei pero vi la tabla y es genial
Positivo,Cuando uno enumera los motivos para volar por @Aerolineas_AR seguro @malenitaeche es uno! Gracias nuevamente y un abrazo! https://t.co/13l9BC22x4
Positivo,@ferpetris @Aerolineas_AR Uy! Que sorpresa! gracias!  Es mi obligacion! Bienvenido a bordo SIEMPRE! HASTA PRONTO!
Negativo,@Aerolineas_AR Es mentira esta promo....busque los destinos que busque en las fechas indicadas por Uds. Los precios no son los que dicen.
Positivo,@InfoViajera @todoporviajar @Aerolineas_AR Totalmente! Muy aprovechable!!!!
Positivo,@ViajarSiempre @todoporviajar @Aerolineas_AR El cambio en cabotaje es una fiesta
Negativo,Siguen entregando las rutas nacionales a empresas extranjeras mientras que a @Aerolineas_AR le siguen quitando rutas. Competencia desleal y buscan el vaciamiento de la aerolínea de bandera. #LosCielosNoSeVenden  https://t.co/uJ76jzudZY
Positivo,@Aerolineas_AR  buenos días quiero agradecer el trato especial q tuvieron con mi madre un servicio excelente  Ida y vuelta
Positivo,"Ayer tuve el privilegio de participar de “Vivir de pie”, con @jeanmaggime, gracias a la invitación de @Aerolineas_AR y @Delta.  Fue una lindísima jornada de aprendizaje y de trabajo en equipo armando bicicletas. Comparto link para sumarse a esta iniciativa https://t.co/HXE45Unel1 https://t.co/latdWCBQFg"
Negativo,"@Aerolineas_AR Hola AA, necesito que POR FAVOR me respondan por algun lado, nunca solucionan nada, y como pasajero frecuente siempre pierdo. ME SOLUCIONAN ALGO PORFA?"
Negativo,@Aerolineas_AR Dejen de mentir!!!! después se quejan de las low cost. Váyanse a cagar!!!!!
Negativo,@Aerolineas_AR  no podes arrancar la cabeza con el precio por un vuelo de cabotaje
Positivo,"Lamentablemente, no se habla ni se escribe lo suficiente en los medios sobre la gran labor de la Fundación Jean Maggi, creada y dirigida por un cordobés ejemplar junto a un maravilloso grupo de personas, y ahora también con el apoyo de empresas como @Aerolineas_AR y @Delta. https://t.co/9r8hEAL9gc"
Negativo,@Aerolineas_AR ESTO ES TODO UNA MENTIRA!!!!! Quiero sacar pasaje NEUQUEN-CORDOBA-NEUQUEN para abril/2019 y no hay a ese precio
Positivo,@Aerolineas_AR #Gracias!! Excelente vuelo!!! https://t.co/uN3hFUjknn
Positivo,@Aerolineas_AR Saque y use promoción anterior a $499...Santa Fe/Bue/Bue/Slt/Bue/Bue/PRA total $2200 #UnRegalo Un tramo a SALTA hoy sale arriba d $2800 1TRAMO y la PROMO dice bien desde.. LEAN BIEN  #GraciasAerolineasArgentinas
Negativo,"@Aerolineas_AR Mentirosos y ladrones, bue cpc solo ida casi 7000."
Negativo,@Aerolineas_AR Nunca encuentro ese precio.
Negativo,"@Aerolineas_AR nos canceló un vuelo luego de hacernos esperar una hora sin dar información precisa, no se hicieron cargo de los gastos extras que nos generan al reprogramarlo y, para rematar, me rompieron la valija. Por supuesto que ante todo se lavaron las manos #unavergüenza"
Positivo,"Gracias a toda la tripulación del vuelo 1670 de @Aerolineas_AR, en especial a @malenitaeche comisario de a bordo, calidad humana que todos necesitamos, felicitaciones y 🙏🙏🙏🙏🙏"
Negativo,"@Aerolineas_AR vuelo a ny 1300 demorado xq no llega la trip, hace tres años que esto no me pasaba, veniamos bien"
Negativo,@Aerolineas_AR Y además te clava para sin aviso y jodete! El viernes estuve 14 hs en aeroparque intentado llegar a Jujuy y tuve que volar vía Salta y después arréglate!
Negativo,@Aerolineas_AR Es una mentira 6000 mil pesos hasta calafate
Negativo,"@LATAMAirlinesUS  nunca me devolvieron el valor del equipaje dañado, en los mails decían que lo harían y no fue así, pasaron 6 meses @emirates @Aerolineas_AR @AirEuropa"
Positivo,"@Aerolineas_AR Me compré 8 pasajes, ida y vuelta Res-BsAs...$790 el tramo...un lujo! Ésta vez es verdad la promo"
Negativo,En el mes de Marzo pasado tenia planeado un vuelo a Peru pero x razones personales no pude hacerlo. Ayer finalmente buscamos un nuevo vuelo con @Aerolineas_AR y encontramos un buen precio y casualmente ahora nos dicen q el pago no se procesó.  Era digital y no funciona nada....
Negativo,"@Aerolineas_AR Ahora no nos quieren subir, discriminacion, maltrato y abuso de poder!!!! Eso es esta aerolínea!!!!"
Negativo,@Aerolineas_AR Quise comprar Buenos Aires a Jujuy para abril y no tienen esos precios que publican.
Positivo,"#Trelew contará con 15 mil asientos más de @Aerolineas_AR a partir de la incorporación de más vuelos desde el mes de octubre, con el objetivo de acompañar el inicio de la temporada de pingüinos y la continuidad de ballenas https://t.co/px4qWb8FAM"
Positivo,@nicko737 @Aerolineas_AR Fotón! 👏🏻👏🏻👏🏻👏🏻
Positivo,"#Chubut Un cuadro de naturaleza viva, por @juasalas en @lacapitalmdq, que estuvo en #PeninsulaValdés gracias a @Aerolineas_AR y @ChubutPatagonia https://t.co/iprsra337Y"
Positivo,@nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Muy linda!
Positivo,"@nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Impresionante,Hermosa!!!👏👏👏"
Positivo,@nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Espectacular! Como haces esa foto!?
Positivo,@KikeLippi @nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Muy buena!!!!! 💪💪💪💪
Positivo,@KikeLippi @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Gracias kike!!! 🛫🛫🛫
Positivo,@vickyulf @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Gracias Vicky!!
Positivo,@diazpez @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters JEJJEJE https://t.co/XqfvpWvWJE
Positivo,@nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Divina Nico
Positivo,@nicko737 @Aerolineas_AR @De_aviacion @aviacionline @AvionesCordoba @HANGARX @iloveaviacion @SpottersArg @avgeekretweeter @SirChandlerBlog @ArgSpotters @diazpez Excelente Nico
Negativo,"deci que todas las empresas son una mierda, pero @fibertel @CableFibertel y su ‘servicio postventa’ es un desastre. Ojalá se fundan"
Negativo,"Pésimo servicio de @fibertel por esta red, contestan cuando quieren y nunca logran solucionar nada"
Negativo,"Hola @fibertel @CableFibertel , por qué me están reclamando el pago de una factura diciendo que está vencida cuando no es así? Además de haber prometido bonificación por su mal accionar hace meses y nunca haberla aplicado? https://t.co/qYoj2AW1oD"
Negativo,"Vamos a mostrar lo que sucede . Leamos la letra chica , hasta 250gb en internet por cable. Son las ratas máximas, no es ilegal, es gil, porque además de tener casi un monopolio de las comunicaciones , joden a los usuarios lo más posible @CableFibertel @fibertel @ServCablevision https://t.co/sOgKqSmYcK"
Negativo,"No se puede creer, lo indignado que estoy, además de limitar la velocidad porque supuestamente 'se colapsan los nodos' sino que no te permiten volver a la velocidad en la que se navega, ninguna otra empresa hace esto, solo ustedes @CableFibertel @fibertel @ServCablevision"
Negativo,"Vergüenza @CableFibertel @fibertel  Limitan la velocidad de internet , y ni lo dicen , hay que leer la letra muy chica para realmente darse cuenta que después de un consumo (bajísimo) te recortan la velocidad al mínimo, solo para romperte las pelotas , porque no se puede volver"
Negativo,@fibertel ayer se corto unas 15 veces hoy directamente no anda. Si no lo van a arreglar al menos compensenme economicamente.
Negativo,"La gente de @fibertel  vino a mi casa tres veces con la de hoy, no mandan pseudotécnicos a ""arreglar"" la conexión y sigue sin funcionar. PERO LA BOLETA TE LA COBRAN IGUAL EH... @noAndaFibertel"
Negativo,@infobae Por culpa de @fibertel como siempre.
Negativo,@fibertel la concha de tu madre
Negativo,"@Carlos_Moltini @fibertel hace ya más de 15 hs que hice un reclamo y sigo sin poder acceder al sitio que quiero, con cualquier otro ISP se puede. Necesito solución urgente."
Negativo,@fibertel @CableFibertel zona devoto sin servicio usuario Pablo Cappone por favor lo necesito para laburar
Negativo,"Hola, me funciona mal internet desde temprano, llame dos veces y las dos veces mientras hablaba, pasados 15 minutos me cortaron, estaba haciendo el procedimiento de desenchufar y eso...necesito que lo solucionen sin perder tanto tiempo, gracias @CableFibertel @fibertel"
Negativo,"Cuando quieren, @fibertel y @CableFibertel son un corso a contramano... los mandas a espiar y tocan timbre.. https://t.co/U4n3AVFFHC"
Negativo,"Respuesta de @fibertel ""Gonzalo, me acaban de informar que nuestro módem no tiene acceso al Ftp que querés acceder. Tampoco es posible tener una Ip fija, ya que nuestro equipo por defecto vienen ya de fábrica. Saludos!"" INCREIBLE LO INÚTILES Y LADRONES"
Negativo,@fibertel 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 Quiero que me den el SERVICIO por el que pago una FORTUNA!!!!!
Negativo,"@buentelefe hace comunicación con @SilvanaGiudici del @ENACOMArgentina y ... no hay buena señal, se corta la comunicación. No tiene remate. Lo que me hace acordar a lo mal que funciona @fibertel porque todo me lleva a ellos ..."
Negativo,"Ahora que @fibertel en monopolio de internet, te fobran una fortuna por un servicio que no funciona 😡"
Negativo,"@____KAOS_____ @CableFibertel @fibertel me descarga a 4 mbps, con suerte 4.4"
Negativo,@claudiosavoia @MariaLujan_Rey 5to día e internet sigue andando mal @fibertel PONGANSE LAS PILAS!!! espero que esta vez que venga el técnico no me haga reiniciar el router como todas las veces y se tome el palo
Negativo,"La re putisima madre que te parió @fibertel . Hace días estoy con la señal que va y viene, se pueden ir a la puta que los pario. Mañana me bajo."
Negativo,@fibertel cada día anda un poco peor
Negativo,No saben lo que me estresa pelearme con @fibertel para que me brinden el servicio que pago. Estoy harta realmente.
Negativo,@fibertel hace dos horas q no tengo internet
Negativo,@fibertel no me anda internet y estoy hace 40 min en línea de espera en el teléfono
Negativo,@fibertel La respuesta fue totalmente insuficiente.
Negativo,Che @fibertel estoy hace dos horas con corte de internet y no puedo trabajar...
Negativo,@CableFibertel @fibertel Un desastre el servicio. La 2° vez que no hay servicio en la semana. Y cada vez sale más caro. Una vergüenza.
Negativo,@ENACOMArgentina Porque no ayudan al usuario como lo tienen que ayudar @fibertel van tres dias este mes que no me da internet y no me atieneden ni me dan numero de reclamo que hago sigo sin internet?
Negativo,@fibertel Hoy cortes y muy baja señal. Hablando de baja si seguimos así daría de baja al servicio. Espero soluciones
Positivo,"@fibertel les hable por dm, gracias"
Negativo,"Son una reverenda bosta, hijos de la mierda, brinden un servicio como corresponde. Nadie les paga tanta plata para que funcionen tan como el orto, monopólicos, garcas e inoperantes de mierda. Arreglenme el internet o páguenme el abono del teléfono soretes @fibertel"
Negativo,Otra vez @Fibertel sin servicio. Y responde una máquina. Ayer y hoy lo mismo
Negativo,@fibertel  La concha de tu madre! Que empresa ineficiente!
Positivo,@PeraltaTincho @fibertel Ya andaaa
Negativo,Queres ver @YouTube o @NetflixLAT ? No contrates @fibertel porque te va a pasar esto #Estafa #PesimoServicio https://t.co/yG47D4OjbN
Negativo,Una noche más que @fibertel me deja sin servicio. 9 días corridos que me cortan el servicio que me cobran por adelantado. Esta semana me cambio de proveedor.  #estafa #fraude #robo #ladrones #mentirosos
Negativo,"@CableFibertel @fibertel Hola!! una vez más, PÉSIMA señal del servicio durante toda la tarde. Me podrán informar qué sucede? muchas gracias"
Positivo,"@PatriciaGobbi @fibertel Te respondimos por DM, saludos."
Negativo,@fibertel qué porquería el servicio de wifi ..... porqué se corta tantooo!??
Negativo,@fibertel la concha de tu madre hace 2 dias estoy sin wifi
Positivo,@asilvarossi @fibertel Te respondimos por DM.-
Positivo,@CableFibertel @fibertel Ya fue respondido.
Positivo,@RuSzuchmacher @fibertel Tuve que hacer reclamo on line y ahí si me dieron bola
Negativo,Uno llama a @fibertel que no funciona y no hay modo de que te atienda una persona. Hacen tiempo para que uno siga pagando un servicio deficiente.
Negativo,@fibertel buenas. Desde ayer no tengo internet. Se ponen las pilas y lo solucionan? Gracias!
Negativo,@Joaco_bustamant @fibertel Más que fibra óptica usan crayones estos hijos de puta
Negativo,"@NegroBordon @fibertel Nos dejo rengos, que se metan la fibra óptica en el ojete"
Negativo,Ni @lacasadepapel hizo un robo tan grande como ustedes @fibertel
Negativo,@Joaco_bustamant @fibertel él es un visionario y predijo la bronca que yo iba a tener en este momento
Negativo,@fibertel la concha de tu madre
Negativo,@fibertel si serán soretes que no dejan jugar un puto partido del fifa tranquilo que se cae todo su wifi de mierda la puta que los parió
Negativo,@fibertel mediocres hijos de puta. Que servicio patético ofrecen. Vive más caído que mis pelotas cuando los llamo al 0800. Forros
Negativo,@fibertel prefiero que me operen a corazón abierto con una cuchara oxidada antes de volver a contratar su servicio. Pedazos de hijos de puta
Negativo,Caen 2 gotas y @fibertel ya cagó fuego
Negativo,Mas de un mes hace que @CableFibertel @fibertel tiene que arreglar la conexión de Internet que andaba intermitente. Ahora hace del sábado que estamos sin servicio y  no arreglan nada! #ServicioDeMierda
Negativo,@CableFibertel @fibertel como siempre me dejan colgada a la mitad de las consultas o reclamos!!!
Negativo,@DNDConsumidor @fibertel @CableFibertel sigo sin respuesta
Negativo,"Día a día aumenta tu monopolio, día a día empeora tu servicio.  La puta madre @CableFibertel @fibertel. Den un servicio decente!!!"
Positivo,@fibertel @CableFibertel Ya está. Gracias @CableFibertel
Negativo,Son un desastre @fibertel
Negativo,@fibertel te odio a vos y a tu servicio de mierda
Negativo,Qué desastre el servicio @fibertel
